steamId,sales,timeStamp,releaseDate,days_since_release
41050,0.0,2019-09-02 15:00:00,2019-08-30,30
41060,56913.0,2019-09-02 15:00:00,2019-08-30,30
208650,179631.6,2015-07-17 13:00:00,2015-06-23,30
220200,1099499.857142857,2015-05-05 09:00:00,2015-04-27,30
223100,53939.0,2016-06-01 20:00:00,2016-05-17,30
225540,497444.0,2016-01-01 21:00:00,2015-11-30,32
227780,146824.0,2019-09-03 09:00:00,2019-08-30,30
229810,1839.0,2015-10-02 15:00:00,2015-09-23,30
232090,1047856.0,2016-12-02 17:00:00,2016-11-18,30
235540,352995.7368421053,2015-11-07 08:00:00,2015-10-23,30
236690,202673.0,2017-10-02 16:00:00,2017-09-05,27
242760,5869054.516129033,2018-05-02 15:00:00,2018-04-30,30
243970,115191.0,2015-06-12 10:00:00,2015-05-12,31
244160,208125.93548387097,2015-03-01 21:00:00,2015-02-25,30
244850,2885885.5,2019-03-05 10:00:00,2019-02-28,30
245370,7993.7,2015-04-01 20:00:00,2015-03-25,30
250070,190.0,2015-02-01 21:00:00,2015-01-22,30
251230,13481.0,2016-10-01 20:00:00,2016-08-30,32
251270,7703.0,2016-05-01 20:00:00,2016-04-25,30
251290,8307.0,2015-11-26 10:00:00,2015-10-29,28
251570,9890224.0,2024-08-24 16:23:13,2024-07-25,30
252130,1501.0,2015-08-01 20:00:00,2015-07-02,30
254860,122.0,2016-01-01 21:00:00,2015-12-03,29
254900,75.0,2020-01-01 21:00:00,2019-12-03,29
254920,515.0,2016-01-01 21:00:00,2015-12-03,29
254940,456.0,2020-01-01 21:00:00,2019-12-03,29
257420,166991.6896551724,2020-10-01 20:00:00,2020-09-24,30
261550,3121104.533333333,2022-11-01 20:00:00,2022-10-25,30
264710,2508969.571428572,2018-02-02 16:00:00,2018-01-23,30
268910,1115453.9677419355,2017-10-01 20:00:00,2017-09-29,30
270880,289589.0,2016-03-01 21:00:00,2016-02-02,28
274190,569266.0,2015-11-11 10:00:00,2015-10-15,27
274230,19104.44,2015-07-08 09:00:00,2015-06-30,30
276810,84364.0,2015-12-02 16:00:00,2015-11-19,30
280180,54527.0,2017-07-02 16:00:00,2017-05-31,32
282050,9414.0,2015-11-26 11:00:00,2015-10-27,30
285190,225937.4516129032,2017-05-01 20:00:00,2017-04-27,30
286160,320660.0,2015-07-02 15:00:00,2015-06-05,27
287700,565582.0,2015-10-01 20:00:00,2015-09-01,30
291860,285261.0,2018-04-02 15:00:00,2018-03-02,31
300060,21078.733333333334,2016-04-01 20:00:00,2016-03-28,30
301120,29254.0,2016-01-02 16:00:00,2015-12-01,32
301910,168098.14285714287,2015-02-01 21:00:00,2015-01-20,30
304580,7844.0,2016-01-01 21:00:00,2015-12-02,30
307670,27585.0,2015-12-02 10:00:00,2015-11-18,30
310890,18178.0,2015-08-18 09:00:00,2015-07-20,29
311010,6410.0,2016-06-01 20:00:00,2016-05-20,30
311240,30201.387096774197,2016-07-01 20:00:00,2016-06-29,30
311690,239209.0,2016-05-06 09:00:00,2016-04-05,31
312540,11411.692307692309,2015-05-06 09:00:00,2015-04-28,30
312560,4393.0,2016-12-01 21:00:00,2016-11-03,28
312670,58921.833333333336,2018-09-01 20:00:00,2018-08-27,30
312780,38462.0,2015-08-07 09:00:00,2015-07-23,30
312840,21028.0,2015-03-01 21:00:00,2015-01-28,32
313390,2451.0,2017-05-30 09:00:00,2017-04-28,32
313810,2562.928571428572,2015-08-04 09:00:00,2015-07-27,30
314790,10886.0,2016-12-01 21:00:00,2016-11-15,30
314830,13698.07142857143,2015-02-01 21:00:00,2015-01-20,30
316240,2228.0,2015-04-01 20:00:00,2015-03-05,27
316320,288.0,2015-03-03 10:00:00,2015-02-24,30
317580,248.0,2015-03-03 10:00:00,2015-02-24,30
318300,129.0,2015-03-03 10:00:00,2015-02-24,30
319540,8170.0,2020-04-13 09:00:00,2020-03-13,31
319630,325479.0,2015-03-01 21:00:00,2015-01-29,31
320300,62438.29032258064,2015-05-01 20:00:00,2015-04-23,30
320400,387.0,2015-01-01 16:00:00,2014-12-02,30
322520,8787.161290322581,2015-03-01 21:00:00,2015-02-26,30
323190,632584.0322580645,2018-05-01 20:00:00,2018-04-24,30
323470,226459.90322580645,2015-03-01 21:00:00,2015-02-26,30
327030,61011.3,2016-09-01 20:00:00,2016-08-23,30
327220,3001.0,2015-08-01 20:00:00,2015-07-02,30
329380,477.0,2015-06-01 20:00:00,2015-04-30,32
329440,14434.0,2015-12-01 21:00:00,2015-11-02,29
330020,84208.0,2019-10-02 15:00:00,2019-09-03,29
330180,3379.0,2015-03-01 21:00:00,2015-01-29,31
331600,51026.5,2015-09-01 20:00:00,2015-08-27,30
331650,1583.0,2015-01-02 16:00:00,2014-12-04,29
331870,9459.233333333334,2017-11-01 20:00:00,2017-10-25,30
331970,859.0,2015-03-03 10:00:00,2015-02-24,30
332310,501346.0,2017-04-02 16:00:00,2017-03-07,30
333980,32838.0,2015-06-23 09:00:00,2015-05-26,28
336420,5367.0,2015-05-01 20:00:00,2015-03-30,32
337000,390765.6,2016-09-01 20:00:00,2016-08-23,30
337360,1769.0,2016-07-01 20:00:00,2016-05-31,31
337680,5730.0,2015-07-01 20:00:00,2015-06-04,27
337760,850.0,2015-02-01 21:00:00,2015-01-22,30
338390,43502.333333333336,2016-07-11 11:00:00,2016-06-28,30
339040,547.0,2015-03-03 10:00:00,2015-02-24,30
342640,31695.225806451614,2017-03-01 21:00:00,2017-02-21,30
344410,3354.0,2015-06-23 09:00:00,2015-05-26,28
345240,1541.258064516129,2015-07-01 20:00:00,2015-06-25,30
345260,4809.548387096775,2015-07-01 20:00:00,2015-06-25,30
346060,132.0,2015-03-03 10:00:00,2015-02-24,30
346110,5948006.4,2017-09-02 16:00:00,2017-08-27,30
346730,4492.0,2015-12-02 10:00:00,2015-11-17,30
346830,8347.0,2015-06-12 23:00:00,2015-05-11,32
347060,1597.0,2016-02-13 10:00:00,2016-01-14,30
347800,12268.0,2022-12-01 21:00:00,2022-11-03,28
348470,10782.83870967742,2015-10-01 20:00:00,2015-09-29,30
348550,13792.0,2015-06-23 09:00:00,2015-05-26,28
349270,2155.0,2020-01-01 21:00:00,2019-12-05,27
350310,4953.8,2015-06-01 20:00:00,2015-05-28,30
351510,11446.0,2015-08-01 20:00:00,2015-06-30,32
351860,154.21428571428572,2015-04-03 09:00:00,2015-03-26,30
351870,578.2857142857142,2015-04-03 09:00:00,2015-03-26,30
351910,12211.0,2016-01-02 17:00:00,2015-12-02,31
351920,3064.260869565217,2016-11-01 20:00:00,2016-10-18,30
352620,377.0,2015-06-12 10:00:00,2015-05-21,30
352780,334.44444444444446,2015-04-04 09:00:00,2015-03-27,30
352790,304.0,2016-02-06 12:00:00,2016-01-07,30
352890,4661.0,2016-11-01 20:00:00,2016-09-30,32
354160,12735.0,2015-11-07 07:00:00,2015-10-08,30
354160,12735.0,2015-11-07 08:00:00,2015-10-08,30
354430,3629.3333333333335,2015-05-08 09:00:00,2015-04-28,30
354600,305.0,2015-06-01 20:00:00,2015-05-07,30
355170,4977.0,2018-12-01 21:00:00,2018-11-16,30
355250,4258.0,2015-05-08 09:00:00,2015-04-28,30
356500,8734.0,2016-04-01 20:00:00,2016-03-01,31
356570,47129.62068965517,2015-09-02 09:00:00,2015-08-25,30
359320,72954.0,2015-05-01 20:00:00,2015-04-02,29
359440,3254.0,2015-07-01 20:00:00,2015-06-01,30
359840,8364.225806451614,2017-03-02 17:00:00,2017-02-22,30
360150,52657.0,2015-08-01 20:00:00,2015-07-02,30
361670,4963.833333333333,2015-05-08 09:00:00,2015-04-28,30
361690,3338.833333333333,2015-05-08 09:00:00,2015-04-28,30
363090,251.0,2015-07-01 20:00:00,2015-06-25,30
363110,205.0,2015-07-01 20:00:00,2015-06-25,30
363130,14741.870967741936,2015-07-01 20:00:00,2015-06-25,30
363440,26708.466666666667,2015-09-01 20:00:00,2015-08-24,30
363650,410.0,2015-10-03 09:00:00,2015-09-25,30
364360,462589.4666666667,2016-06-01 20:00:00,2016-05-24,30
365820,0.0,2015-10-01 20:00:00,2015-09-02,29
365850,336.0,2015-08-01 20:00:00,2015-07-24,30
365890,5831.0,2015-11-01 20:00:00,2015-10-01,31
366320,21500.0,2016-10-01 20:00:00,2016-09-02,29
366910,34559.0,2017-07-01 20:00:00,2017-05-30,32
367520,102064.93548387096,2017-03-01 21:00:00,2017-02-24,30
368070,101932.0,2017-05-26 16:00:00,2017-04-24,32
368620,17778.774193548386,2018-10-01 20:00:00,2018-09-25,30
370460,7810.48,2015-10-07 09:00:00,2015-09-29,30
370910,4254.0,2016-06-01 20:00:00,2016-05-05,27
371520,25621.0,2017-06-02 16:00:00,2017-05-16,30
372360,64484.0,2016-03-01 21:00:00,2016-02-01,29
373770,15456.612903225809,2016-03-01 21:00:00,2016-02-25,30
374030,23678.387096774197,2016-10-01 20:00:00,2016-09-22,30
374040,613801.0,2017-06-02 15:00:00,2017-05-18,30
374380,729.0,2015-08-01 20:00:00,2015-07-02,30
375450,8590.8,2016-04-01 20:00:00,2016-03-23,30
376450,1171.0,2016-07-05 10:00:00,2016-06-07,28
378540,90630.0,2017-06-01 20:00:00,2017-05-15,30
382140,26157.0,2015-11-03 10:00:00,2015-10-06,28
383150,130001.0,2016-07-01 20:00:00,2016-05-31,31
383180,14091.0,2016-07-01 20:00:00,2016-05-31,31
383270,1805.0,2016-10-01 20:00:00,2016-08-30,32
384110,8384.0,2015-11-26 10:00:00,2015-10-29,28
384190,111651.0,2016-09-01 20:00:00,2016-08-02,30
388410,65294.0,2015-12-02 10:00:00,2015-11-05,27
389730,206192.0,2017-07-01 20:00:00,2017-06-01,30
390310,6689.0,2016-09-01 20:00:00,2016-08-05,27
391220,508739.0,2016-03-08 10:00:00,2016-02-09,28
391640,902.0,2017-04-01 20:00:00,2017-02-28,32
