steamId,Action,Adventure,Casual,Early Access,Indie,Massively Multiplayer,RPG,Racing,Simulation,Sports,Strategy
1000010,0,1,0,0,1,0,1,0,0,0,1
1004750,0,0,0,0,0,0,0,1,1,1,0
1005300,0,0,1,0,1,0,0,0,0,0,1
1009290,1,1,0,0,0,0,1,0,0,0,0
1009560,0,0,1,0,1,0,0,0,1,0,0
1011390,0,0,0,0,0,0,0,0,0,0,1
1012840,0,1,0,0,0,0,0,0,0,0,0
1013140,1,0,0,0,0,0,0,0,0,0,0
1013220,1,0,0,0,0,0,0,0,0,0,0
1015890,1,1,0,0,0,0,0,0,0,0,0
1016790,1,1,0,0,1,0,0,0,0,0,0
1016920,1,0,1,0,1,0,0,0,0,0,0
1016930,0,1,1,0,1,0,0,0,0,0,0
1016950,0,0,0,0,0,0,0,0,0,1,1
1018000,1,0,1,0,0,0,0,0,0,0,0
1018010,1,1,0,0,0,0,1,1,1,1,0
1018020,1,0,0,0,0,0,0,0,0,0,0
1018800,1,0,1,0,1,0,0,0,1,0,0
1019450,0,0,0,0,0,0,0,0,1,0,0
1019550,1,0,0,0,1,0,0,0,1,0,0
1019590,1,0,0,0,1,0,0,0,0,0,0
1020470,1,1,1,0,1,0,1,0,0,0,0
1020540,1,0,0,0,0,0,0,0,0,0,0
1024480,1,0,0,0,0,0,1,0,0,0,1
1024650,0,0,0,0,0,0,0,0,1,0,1
1025440,0,0,0,0,0,0,0,0,0,0,1
1026680,0,1,0,0,0,0,1,0,0,0,0
102840,1,1,0,0,1,0,0,0,0,0,0
1029690,1,1,0,0,0,0,0,0,0,0,0
1030210,1,1,0,0,0,0,1,0,0,0,0
1036890,1,1,0,0,0,0,0,0,0,0,0
1037130,1,0,0,0,1,0,0,0,0,0,0
1041720,1,0,0,0,0,0,1,0,0,0,0
1041920,0,0,1,0,1,0,0,0,0,0,0
1042490,0,1,1,0,1,0,0,0,0,0,0
1042670,0,0,0,0,1,0,1,0,0,0,0
1042920,1,1,0,0,1,0,1,0,0,0,0
1045610,0,0,1,0,1,0,0,0,1,0,1
1045620,0,0,0,0,0,0,1,0,0,0,0
1045840,1,1,0,0,1,0,0,0,0,0,0
10460,1,0,0,0,0,0,0,0,0,0,0
10500,0,0,0,0,0,0,0,0,0,0,1
105000,0,1,0,0,1,0,0,0,0,0,0
1052440,1,0,1,0,1,0,0,0,0,0,0
1053390,0,1,0,0,0,0,0,0,0,0,0
1054430,1,0,1,0,1,0,0,1,0,0,0
1054690,0,0,0,0,1,0,0,0,0,0,1
105600,1,1,0,0,1,0,1,0,0,0,0
1057750,0,1,1,0,1,0,0,0,0,0,0
1058020,1,0,0,0,0,0,0,0,0,0,0
1058450,1,0,0,0,0,0,0,0,0,0,0
1058650,1,0,0,0,1,1,0,0,1,0,1
1059900,0,0,1,0,0,0,0,0,1,0,0
