steamId,publisher
1623730,Pocketpair
252490,Facepunch Studios
275850,Hello Games
1326470,Newnight
346110,Studio Wildcard
346110,Snail Games USA
284160,BeamNG
221100,Bohemia Interactive
814380,Activision (Excluding Japan and Asia)
814380,"FromSoftware, Inc. (Japan)"
814380,方块游戏 (Asia)
413150,ConcernedApe
239140,Techland
739630,Kinetic Games
242760,Endnight Games Ltd
1144200,VOID Interactive
648800,Axolot Games
892970,Coffee Stain Publishing
107410,Bohemia Interactive
108600,The Indie Stone
105600,Re-Logic
2183900,Focus Entertainment
261550,TaleWorlds Entertainment
393380,Offworld
1142710,SEGA
1142710,Feral Interactive
526870,Coffee Stain Publishing
1966720,Zeekerss
381210,Behaviour Interactive Inc.
534380,Techland
294100,Ludeon Studios
427520,Wube Software LTD.
594650,Crytek
1145360,Supergiant Games
322330,Klei Entertainment
632360,Gearbox Publishing
548430,Coffee Stain Publishing
899770,Eleventh Hour Games
264710,Unknown Worlds Entertainment
251570,The Fun Pimps Entertainment LLC
391220,Crystal Dynamics
391220,Feral Interactive (Mac)
391220,Feral Interactive (Linux)
1604030,Stunlock Studios
524220,Square Enix
379430,Warhorse Studios
379430,Prime Matter
227300,SCS Software
1248130,Giants Software
2399830,Studio Wildcard
2399830,Snail Games USA
218620,Starbreeze Publishing AB
477160,Curve Games
268910,Studio MDHR Entertainment Inc.
779340,SEGA
779340,Feral Interactive (Mac)
779340,Feral Interactive (Linux)
703080,Frontier Developments
287700,KONAMI
244210,Kunos Simulazioni
356190,WB Games
594570,SEGA
594570,Feral Interactive (Mac)
594570,Feral Interactive (Linux)
367520,Team Cherry
1363080,Hooded Horse
1203620,Keen Games GmbH
457140,Klei Entertainment
225540,Square Enix
1282100,Arc Games
241930,Warner Bros. Interactive Entertainment
241930,Warner Bros. Games
588650,Motion Twin
364360,SEGA
364360,Feral Interactive (Linux)
364360,Feral Interactive (Mac)
632470,ZA/UM
312660,Rebellion
250900,"Nicalis, Inc."
1687950,SEGA
646570,Mega Crit
1868140,MINTROCKET
513710,Jagex Ltd
686810,Team17
361420,System Era Softworks
1361210,Fatshark
629760,Triternion
620980,Beat Games
220200,Private Division
2252570,SEGA
728880,Team17
1313140,Devolver Digital
1468810,鬼谷工作室
1468810,Lightning Games
1332010,Annapurna Interactive
648350,Frontier Developments
323190,11 bit studios
493340,Frontier Developments
