name,score,developer,marketer,launch_date
Palworld,8,Pocketpair,Pocket Pair Inc.,"Jan 19, 2024"
Rust,7,Facepunch Studios,Facepunch Studios,"Dec 11, 2013"
War Thunder,7.2,Gaijin Entertainment,Gaijin Entertainment,"Aug 15, 2013"
NARAKA: BLADEPOINT,8,24 Entertainment,"NetEase, 24 Entertainment","Aug 11, 2021"
No Man's Sky,7.8,Hello Games,Hello Games,"Aug 9, 2016"
Sons Of The Forest,9,Endnight Games,Endnight Games,"Feb 23, 2023"
ARK: Survival Evolved,7.7,Abstraction Games,Studio Wildcard,"Jun 2, 2015"
Path of Exile,7.6,Grinding Gear Games,Grinding Gear Games,"Jan 23, 2013"
Stardew Valley,10,ConcernedApe,ConcernedApe,"Feb 26, 2016"
Dying Light,8.5,Techland,Warner Bros. Interactive,"Jan 27, 2015"
The Forest,8.4,Endnight Games,Endnight Games,"Apr 30, 2018"
Valheim,9,Iron Gate AB,Coffee Stain,"Feb 2, 2021"
World of Warships,8.3,Wargaming,Wargaming,"Sep 17, 2015"
SMITE®,8.5,Hi-Rez Studios,Hi-Rez Studios,"Mar 25, 2014"
Terraria,9,Engine Software,"505 Games, Re-Logic","May 16, 2011"
"Warhammer 40,000: Space Marine 2",7.5,Relic,THQ,"Sep 6, 2011"
Mount & Blade II: Bannerlord,8,Taleworlds,Taleworlds,"Oct 25, 2022"
Total War: WARHAMMER III,9,Creative Assembly,SEGA,"Feb 17, 2022"
Satisfactory,9,Coffee Stain,Coffee Stain,"Sep 10, 2024"
Lethal Company,7,Zeekerss,Zeekerss,"Oct 23, 2023"
Dead by Daylight,9,Behaviour Interactive,Behaviour Interactive,"Jun 14, 2016"
The First Descendant,5,NEXON Games,Nexon,"Jul 2, 2024"
Factorio,8,Wube Software,Wube Software,"Aug 14, 2020"
Hunt: Showdown 1896,7.5,Crytek Studios,Crytek Studios,"Aug 27, 2019"
Hades,9,Supergiant Games,Supergiant Games,"Dec 6, 2018"
Risk of Rain 2,9,Hopoo Games,Gearbox Publishing,"Mar 28, 2019"
Deep Rock Galactic,9,Ghost Ship Games,Coffee Stain,"May 13, 2020"
Last Epoch,8,Eleventh Hour Games,Eleventh Hour Games,"Feb 21, 2024"
Subnautica,9.1,Panic Button,"Unknown Worlds Entertainment, Gearbox Publishing","Dec 16, 2014"
7 Days to Die,4.9,Iron Galaxy Studios,"The Fun Pimps, Telltale Publishing","Dec 13, 2013"
Rise of the Tomb Raider™,9.3,Crystal Dynamics,"Square Enix, Microsoft","Nov 10, 2015"
V Rising,9,Stunlock Studios,Stunlock Studios,"May 8, 2024"
NieR:Automata™,8.9,PlatinumGames,Square Enix,"Feb 23, 2017"
Kingdom Come: Deliverance,8,Saber Interactive,"Deep Silver, Prime Matter","Feb 13, 2018"
Star Trek Online,6.8,Cryptic Studios,"Atari, Perfect World Entertainment","Feb 2, 2010"
PAYDAY 2,8,Overkill Software,505 Games,"Aug 13, 2013"
Human Fall Flat,7.9,No Brakes Games,Curve Digital,"Jul 22, 2016"
Cuphead,8.8,StudioMDHR,StudioMDHR,"Sep 29, 2017"
Total War: THREE KINGDOMS,9.3,Creative Assembly,SEGA,"May 23, 2019"
