steamId,name,price,reviews,reviewsSteam,followers,avgPlaytime,reviewScore,releaseDate,firstReleaseDate,earlyAccess,copiesSold,revenue,totalRevenue,players,owners,wishlists
1623730,Palworld,29.99,297959,277772.0,560029.0,41.802278485126756,94,1705660414083,1705660414083,True,16944092,398042236.0,401000905.0,18175499,18175499,2910600.0
252490,Rust,39.99,1032177,920962.0,1133339.0,357.9954848502207,87,1518066000000,1385856000000,False,19749077,338280015.0,372953556.2980842,22133968,25087321,3379200.0
275850,No Man's Sky,59.99,291192,242884.0,786128.0,50.39426414206982,80,1470974400000,1470974400000,False,6460372,232053301.0,,7745296,8799592,2604800.0
1326470,Sons Of The Forest,29.99,185980,184136.0,539692.0,17.01814747248885,86,1708578000000,1677128400000,False,8955029,223651953.0,,9044708,10266586,4279000.0
346110,ARK: Survival Evolved,14.99,678865,529632.0,1559450.0,158.5821734773646,83,1503806400000,1433116800000,False,17211123,230188780.0,323620739.0,22060656,47881612,1035100.0
284160,BeamNG.drive,24.99,254361,254361.0,380976.0,63.304805276534346,97,1406851200000,1406851200000,True,11144501,202656539.0,,11144501,12275444,1818300.0
221100,DayZ,49.99,381337,334700.0,632513.0,200.29573583770983,75,1544677200000,1385856000000,False,7926880,201628134.0,206077844.0,9031409,9929541,2404600.0
814380,Sekiro™: Shadows Die Twice - GOTY Edition,59.99,271278,219405.0,609794.0,42.444895285573814,95,1553140800000,1553140800000,False,5989494,195854935.0,,7405565,8595351,4483600.0
413150,Stardew Valley,14.99,670193,652109.0,858665.0,62.5855157246998,98,1456462800000,1456462800000,False,19889166,185406493.0,186845214.0,20440723,23352879,2226400.0
239140,Dying Light,19.99,398079,316176.0,699646.0,36.1535170948261,95,1461211200000,1420070400000,False,13217045,187328169.0,199836601.0,16640821,19380983,1510300.0
739630,Phasmophobia,19.99,660010,580035.0,390668.0,29.128582854822625,96,1600401600000,1600401600000,True,14946826,164895950.0,,17007688,19148576,1901900.0
242760,The Forest,19.99,530250,474246.0,751131.0,24.67430456594752,96,1525060800000,1398902400000,False,20526231,160460820.0,,22950186,26791864,1927200.0
1144200,Ready or Not,49.99,164125,153126.0,445571.0,16.499552687616514,88,1702443600000,1639717200000,False,5258508,154753933.0,157654421.0,5636225,6274997,3448500.0
