name,score
Palworld,tbd
Rust,69
War Thunder,81
NARAKA: BLADEPOINT,71
No Man's Sky,61
Sons Of The Forest,86
ARK: Survival Evolved,70
Path of Exile,86
DayZ,tbd
Yu-Gi-Oh! Master Duel,80
Stardew Valley,89
Dying Light,75
Phasmophobia,tbd
Raft,tbd
Valheim,tbd
Arma 3,74
World of Warships,81
SMITE®,83
Terraria,83
"Warhammer 40,000: Space Marine 2",74
Mount & Blade II: Bannerlord,77
Squad,tbd
Total War: WARHAMMER III,86
Satisfactory,90
Lethal Company,tbd
Dead by Daylight,71
The First Descendant,57
RimWorld,87
Factorio,90
Hades,93
Don't Starve Together,83
Risk of Rain 2,85
Deep Rock Galactic,85
Last Epoch,80
Subnautica,87
7 Days to Die,tbd
Rise of the Tomb Raider™,86
V Rising,83
Kingdom Come: Deliverance,76
Euro Truck Simulator 2,79
Farming Simulator 22,76
ARK: Survival Ascended,tbd
Star Trek Online,66
PAYDAY 2,79
Human Fall Flat,70
Cuphead,88
Total War: THREE KINGDOMS,85
Planet Zoo,81
METAL GEAR SOLID V: THE PHANTOM PAIN,91
Assetto Corsa,85
Middle-earth™: Shadow of War™,75
Total War: WARHAMMER II,87
Hollow Knight,87
Manor Lords,tbd
Enshrouded,tbd
Oxygen Not Included,85
Just Cause™ 3,74
REMNANT II®,80
Middle-earth™: Shadow of Mordor™,84
Dead Cells,89
Total War: WARHAMMER,86
Disco Elysium - The Final Cut,97
Sniper Elite 4,78
The Binding of Isaac: Rebirth,86
Shadowverse CCG,tbd
Persona 5 Royal,95
Slay the Spire,89
DAVE THE DIVER,90
Hell Let Loose,79
ASTRONEER,71
"Warhammer 40,000: Darktide",74
Phantasy Star Online 2 New Genesis,tbd
MORDHAU,81
Beat Saber,93
Kerbal Space Program,88
Football Manager 2024,84
Overcooked! 2,81
Cult of the Lamb,82
Stray,82
Jurassic World Evolution,69
Frostpunk,84
Planet Coaster,84
theHunter: Call of the Wild™,64
Trove,tbd
Green Hell,78
Conan Exiles,68
Hades II,tbd
Insurgency: Sandstorm,78
Detroit: Become Human,80
Company of Heroes 3,81
Remnant: From the Ashes,78
Space Engineers,tbd
Granblue Fantasy: Relink,81
Total War: ROME II - Emperor Edition,tbd
Tomb Raider,86
Killing Floor 2,75
Diablo® IV,86
Jurassic World Evolution 2,76
FINAL FANTASY VII REMAKE INTERGRADE,86
Starbound,81
Warhammer: Vermintide 2,82
Darkest Dungeon®,84
FINAL FANTASY XIV Online,49
FINAL FANTASY XV WINDOWS EDITION,85
Lies of P,83
World of Tanks,80
Farming Simulator 19,73
Elite Dangerous,80
TEKKEN 7,82
Persona 3 Reload,89
Total War: SHOGUN 2,90
House Flipper,67
Deus Ex: Mankind Divided,83
Atomic Heart,76
Subnautica: Below Zero,82
PlanetSide 2,84
DRAGON BALL Z: KAKAROT,73
Slime Rancher,81
eFootball™,25
Metro Exodus,82
Overwatch® 2,79
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,tbd
American Truck Simulator,76
Mount & Blade: Warband,78
The Outlast Trials,69
Company of Heroes 2,80
Castle Crashers®,tbd
Killing Floor,72
Outlast,80
Disney Dreamlight Valley,70
Wartales,79
GUILTY GEAR -STRIVE-,85
SnowRunner,82
Batman™: Arkham Knight,70
Inscryption,85
Northgard,81
Kerbal Space Program 2,tbd
Torchlight II,88
Just Cause 2,84
PAYDAY 3,66
Outer Wilds,85
OUTRIDERS,73
Temtem,79
PowerWash Simulator,74
Limbus Company,tbd
Alien: Isolation,81
Nioh 2 – The Complete Edition,86
Sniper Elite 3,79
Resident Evil 6,69
Metaphor: ReFantazio,92
DC Universe™ Online,72
Slime Rancher 2,tbd
Shadow Warrior 2,78
Control Ultimate Edition,84
DREDGE,80
Nioh: Complete Edition,84
Crossout,tbd
Tropico 6,78
Wreckfest,81
Totally Accurate Battle Simulator,tbd
Outlast 2,75
Two Point Hospital,83
Enter the Gungeon,84
Lords of the Fallen,75
Ghostrunner,81
Sniper Elite 5,79
Dragon's Dogma: Dark Arisen,81
Serious Sam 3: BFE,72
The Escapists 2,75
This War of Mine,83
Metro 2033 Redux,90
Transport Fever 2,76
Don't Starve,79
Like a Dragon: Infinite Wealth,89
Persona 4 Golden,87
Saints Row: The Third,84
Golf With Your Friends,tbd
Total War: ATTILA,80
Car Mechanic Simulator 2021,70
The Outer Worlds,82
No Rest for the Wicked,tbd
Life is Strange - Episode 1,80
Unpacking,83
Yakuza 0,86
GreedFall,72
"Warhammer 40,000: Dawn of War III",77
Warhammer: End Times - Vermintide,79
SOULCALIBUR VI,80
Resident Evil 5,86
Assetto Corsa Competizione,77
DRAGON BALL XENOVERSE,tbd
METAL GEAR RISING: REVENGEANCE,83
Vampyr,72
Shadow Tactics: Blades of the Shogun,85
NieR Replicant™ ver.1.22474487139...,80
Dead Rising 3 Apocalypse Edition,70
Darkest Dungeon® II,81
A Plague Tale: Innocence,81
HUMANKIND™,77
SILENT HILL 2,86
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,76
Batman™: Arkham Origins,74
OCTOPATH TRAVELER II,83
DmC: Devil May Cry,85
Skul: The Hero Slayer,80
DEATH STRANDING DIRECTOR'S CUT,85
SCARLET NEXUS,78
My Time at Portia,73
Arma 2: Operation Arrowhead,73
Marvel's Guardians of the Galaxy,78
Injustice™ 2,86
Bloodstained: Ritual of the Night,83
FINAL FANTASY X/X-2 HD Remaster,83
DARK SOULS™ II,91
Police Simulator: Patrol Officers,tbd
Yakuza: Like a Dragon,83
Forager,78
Car Mechanic Simulator 2018,tbd
Rising Storm 2: Vietnam,81
OCTOPATH TRAVELER™,80
"STAR WARS™ Battlefront II (Classic, 2005)",78
Neon Abyss,74
Frostpunk 2,86
ENDLESS™ Legend,82
Coral Island,82
Wo Long: Fallen Dynasty,79
Metro: Last Light Redux,76
Shadow Warrior,73
Against the Storm,91
Graveyard Keeper,69
Dune: Spice Wars,73
For The King,79
ENDLESS™ Space 2,80
Resident Evil 4 (2005),76
Starship Troopers: Extermination,63
ELEX,67
Darksiders III,70
Broforce,83
Tribes of Midgard,73
Potion Craft: Alchemist Simulator,74
Thief,70
Undisputed,71
Ryse: Son of Rome,61
House Flipper 2,79
Contraband Police,77
Little Nightmares II,83
Monster Train,86
Danganronpa V3: Killing Harmony,80
Goat Simulator,62
Blasphemous,77
Iron Harvest,75
Homeworld Remastered Collection,86
Sword Art Online: Fatal Bullet,61
Bastion,86
Bayonetta,90
The Jackbox Party Pack 7,76
BattleBlock Theater®,85
Sonic Frontiers,75
ONE PIECE: PIRATE WARRIORS 4,tbd
FINAL FANTASY XVI,84
The Talos Principle,85
Zombie Army Trilogy,72
Ultra Street Fighter® IV,82
DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,71
Hotline Miami,85
A Total War Saga: THRONES OF BRITANNIA,75
