name,averageRevenue,medianRevenue,totalRevenue,publishedGames
Slitherine Ltd.,500799.20766646625,162768,55588712.05097775,111
astragon Entertainment,2328486.407407407,277491,62869133,27
Arc System Works,1463068.0487804879,102860,59985790,41
PLAYISM,661251.1607142857,100419,74060130,112
"KOEI TECMO GAMES CO., LTD.",2456435.1999783153,738308,245643519.99783152,100
Square Enix,5274487.445506448,1035679,722604780.0343834,137
Tripwire Interactive,9165322.384615384,508478,119149191,13
THQ Nordic,1670579.8600762351,195453,265622197.7521214,159
Keen Software House,12651926,2318877.5,50607704,4
Devolver Digital,3097317.94488189,555213,393359379,127
Bohemia Interactive,15702311.947085273,133153,392557798.67713183,25
Prime Matter,7186856.6,446747.5,143737132,20
"Spike Chunsoft Co., Ltd.",1565074.6691486025,425891.5,78253733.45743012,50
CI Games,4966157,1262805,79458512,16
Daedalic Entertainment,1449314.7045454546,303205.5,127539694,88
Humble Games,3311511.6744186045,567784,142395002,43
XSEED Games,1426045.6666666667,661180,89840877,63
"Marvelous USA, Inc.",1448390.607142857,628165,81109874,56
PlayWay S.A.,1174437.9759036144,35702.5,194956704,166
"Jackbox Games, Inc.",2039307.72,249008,50982693,25
Focus Entertainment,7766864.597658686,2014787,520379928.043132,67
SapStaR Games,14700695.205383003,40332,58802780.82153201,4
Raw Fury,1232389.0652173914,428372,56689897,46
Lucasfilm,2559237.302325581,442680,110047204,43
Disney,1305430.1764705882,122690,110961565,85
Nacon,945066.8823529412,346654.5,96396822,102
Gamera Games,984374.3750298878,53886.5,100406186.25304855,102
Hello Games,58473168,1178162,233892672,4
Curve Games,3608143.825,232722,144325753,40
Rebellion,4404664.571428572,242745,154163260,35
tinyBuild,1407084.4313937153,114178,128044683.2568281,91
SEGA,7399260.605299831,1132130.5,1346665430.1645694,182
Annapurna Interactive,4060795.84375,653873,129945467,32
Skybound Games,3450588.7647058824,304886,58660009,17
"Nicalis, Inc.",3011463.1363636362,45644.5,66252189,22
BANDAI NAMCO Entertainment,5476613.322580645,2167113,339550026,62
SCS Software,19404498.166666668,737065.5,116426989,6
11 bit studios,6827033.333333333,1039420.5,122886600,18
KONAMI,11108993.247564893,834512,433250736.65503085,39
Team17,6287606.152173913,882523,289229883,46
505 Games,3749863.1757599963,708029,183743295.6122398,49
Snail Games USA,25068722.61590726,4089698,350962116.62270164,14
Techland,60477402.4,705485,302387012,5
Good Shepherd Entertainment,2027963.34375,410834,64894827,32
"Cygames, Inc.",18600688.949862976,3772569,111604133.69917786,6
Behaviour Interactive Inc.,18634227.285714287,1427677,130439591,7
WhisperGames,950552.1527777778,83218,68439755,72
Funcom,5416795.669124801,258825,81251935.03687201,15
Deep Silver,6568174.257142857,2458665,229886099,35
Kalypso Media,3604190.2352941176,1751299,61271234,17
Zeekerss,29930068.5,190996,119720274,4
NEOWIZ,5858794.461538462,771512,76164328,13
Shiro Games,13432731,8680881.5,80596386,6
Crystal Dynamics,10184669.718957363,468790,183324054.94123253,18
LucasArts,2886869.4210526315,501477,109701038,38
Eidos Interactive Corp.,7622210.181818182,406048,83844312,11
The Behemoth,10144812,5116543,50724060,5
Giants Software,19301947.714285713,3081845,135113634,7
Fatshark,12179744.6,279434.5,121797446,10
Coffee Stain Publishing,32118048.307692308,2994999,417534628,13
Gearbox Publishing,12861710.57142857,6805742,180063948,14
Facepunch Studios,113106776.8186435,474219,339320330.4559305,3
Starbreeze Publishing AB,38682510,38682510,77365020,2
Klei Entertainment,18499293.25,4118300,221991519,12
Frontier Developments,27429211.5,21454153.5,274292115,10
Warner Bros. Interactive Entertainment,9347689.516129032,2132272,289778375,31
Arc Games,18730029.66981816,5473231,243490385.70763606,13
Lightning Games,5103033,177720,56133363,11
Jagex Ltd,15393898.042611027,3174217.5,123151184.34088822,8
Private Division,12592756.909090908,2115005,138520326,11
Capcom,7164050.346153846,3081985,186265309,26
Pocketpair,104008277.5,8660992,416033110,4
Chucklefish,5350725.75,1290962,64208709,12
Re-Logic,69786295,69786295,139572590,2
Crytek,18346063.25,3373316,146768506,8
Hooded Horse,10024221.923076924,4830679,130314885,13
Bandai Namco Entertainment Inc.,14609078.4,4734224,146090784,10
WB Games,23018237.25,21042950,184145898,8
Gameloft,8536922.629399396,3005949.038419063,68295381.03519517,8
TaleWorlds Entertainment,44203767.5,18610984.5,176815070,4
Quantic Dream,15095413.5,5852870,60381654,4
Gaijin Network Ltd,67074727.45917512,5069247.121086826,402448364.7550507,6
Landfall,8568731.130132768,5725398,59981117.91092938,7
Unknown Worlds Entertainment,26932352.6,5598533,134661763,5
Frozen District,8151380.428571428,1197850,57059663,7
Supergiant Games,36673458.6,13503261,183367293,5
NEXON,37591822.666666664,3969533,112775468,3
Hi-Rez Studios,34422469.39691327,4542399.5911549665,206534816.38147962,6
Offworld,45495280.75,12695748.5,181981123,4
Expansive Worlds,21308142.070453346,9611869.211360041,63924426.21136004,3
Ninja Kiwi,5588209.989796279,1680910.2118418538,50293889.90816651,9
Newnight,223752166,223752166,223752166,1
Studio Wildcard,100822578.66666667,72154517,302467736,3
BeamNG,203359423,203359423,203359423,1
Activision (Excluding Japan and Asia),195894849,195894849,195894849,1
"FromSoftware, Inc. (Japan)",195894849,195894849,195894849,1
方块游戏 (Asia),195894849,195894849,195894849,1
ConcernedApe,185712255,185712255,185712255,1
Kinetic Games,165237237,165237237,165237237,1
Endnight Games Ltd,160554978,160554978,160554978,1
VOID Interactive,155265099,155265099,155265099,1
Axolot Games,94306705,94306705,188613410,2
The Indie Stone,140923110,140923110,140923110,1
Feral Interactive,138878040,138878040,138878040,1
Ludeon Studios,112965133,112965133,112965133,1
Wube Software LTD.,114718742,114718742,114718742,1
Eleventh Hour Games,94281552,94281552,94281552,1
The Fun Pimps Entertainment LLC,91411746,91411746,91411746,1
Stunlock Studios,21881828.99594215,434131.358910082,87527315.9837686,4
Warhorse Studios,82328054,82328054,82328054,1
Studio MDHR Entertainment Inc.,74757661,74757661,74757661,1
Kunos Simulazioni,70176864,70176864,70176864,1
Team Cherry,67450619,67450619,67450619,1
Keen Games GmbH,62978244,62978244,62978244,1
Motion Twin,62686431,62686431,62686431,1
ZA/UM,61259760,61259760,61259760,1
Mega Crit,59628812,59628812,59628812,1
MINTROCKET,59839430,59839430,59839430,1
System Era Softworks,58605456,58605456,58605456,1
Triternion,56106891,56106891,56106891,1
Beat Games,55896830,55896830,55896830,1
Berserk Games,51336513,51336513,51336513,1
Creepy Jar,50928337,50928337,50928337,1
"Blizzard Entertainment, Inc.",40123243,40123243,80246486,2
Red Hook Studios,29737134,29737134,59474268,2
Monomi Park,29815727,29815727,59631454,2
Red Barrels,31815229,30673071,95445687,3
ProjectMoon,19069312,18270169,57207936,3
