steamId,Action,Adventure,Casual,Early Access,Indie,Massively Multiplayer,RPG,Racing,Simulation,Sports,Strategy
10,1,0,0,0,0,0,0,0,0,0,0
10090,1,0,0,0,0,0,0,0,0,0,0
10100,0,1,0,0,0,0,0,0,0,0,0
10110,0,1,0,0,0,0,0,0,0,0,0
10120,1,0,1,0,0,0,0,0,0,0,0
10130,1,0,0,0,0,0,0,0,0,0,0
10140,0,0,0,0,0,0,0,0,0,1,0
10150,1,1,0,0,0,0,0,0,0,0,0
1016120,0,0,0,0,0,0,0,0,1,1,0
1017900,0,0,0,0,0,0,0,0,0,0,1
10180,1,0,0,0,0,0,0,0,0,0,0
1020790,1,1,0,0,0,0,0,0,0,0,0
102850,1,1,0,0,1,0,0,0,0,0,0
1030830,1,1,0,0,0,0,0,0,0,0,0
105420,1,0,0,0,1,0,0,0,0,0,0
105450,0,0,0,0,0,0,0,0,1,0,1
1056960,1,0,0,0,0,0,0,0,0,0,0
1056970,1,0,0,0,0,0,0,0,0,0,0
1057090,1,0,0,0,0,0,0,0,0,0,0
1063730,1,1,0,0,0,1,1,0,0,0,0
1064070,1,0,1,0,1,0,0,0,0,0,0
1086940,0,1,0,0,0,0,1,0,0,0,1
108800,1,0,0,0,0,0,0,0,0,0,0
1091500,0,0,0,0,0,0,1,0,0,0,0
1097840,1,1,0,0,0,0,0,0,0,0,0
1098292,1,0,0,0,0,0,0,0,0,0,0
1098293,1,0,0,0,0,0,0,0,0,0,0
110800,0,1,0,0,0,0,0,0,0,0,1
1142100,1,0,0,0,0,0,0,0,0,1,0
1148590,1,0,0,0,0,0,0,0,0,0,0
1151340,0,0,0,0,0,0,1,0,0,0,0
1151640,1,1,0,0,0,0,1,0,0,0,0
115300,1,0,0,0,0,0,0,0,0,0,0
115320,1,1,0,0,0,0,0,0,0,0,0
1158310,0,0,0,0,0,0,1,0,1,0,1
1158850,0,1,0,0,0,0,0,0,0,0,0
1167750,0,1,0,0,0,0,1,0,0,0,1
