steamId,publisher
2358720,Game Science
1086940,Larian Studios
1091500,CD PROJEKT RED
1245620,"FromSoftware, Inc."
1245620,Bandai Namco Entertainment
271590,Rockstar Games
553850,PlayStation Publishing LLC
1938090,Activision
1174180,Rockstar Games
292030,CD PROJEKT RED
550,Valve
990080,Warner Bros. Games
359550,Ubisoft
1172620,Xbox Game Studios
582010,"CAPCOM Co., Ltd."
289070,2K
289070,Aspyr (Mac)
289070,Aspyr (Linux)
1551360,Xbox Game Studios
377160,Bethesda Softworks
489830,Bethesda Softworks
976730,Xbox Game Studios
1293830,Xbox Game Studios
435150,Larian Studios
1063730,Amazon Games
1716740,Bethesda Softworks
311210,Activision
311210,Aspyr (Mac)
4000,Valve
374320,"FromSoftware, Inc."
374320,Bandai Namco Entertainment
2195250,Electronic Arts
552520,Ubisoft
1517290,Electronic Arts
1426210,Electronic Arts
782330,Bethesda Softworks
620,Valve
2054970,"CAPCOM Co., Ltd."
255710,Paradox Interactive
2050650,"CAPCOM Co., Ltd."
304390,Ubisoft
1172380,Electronic Arts
812140,Ubisoft
8930,2K
8930,Aspyr (Mac)
8930,Aspyr (Linux)
394360,Paradox Interactive
397540,2K
1774580,Electronic Arts
240,Valve
460930,Ubisoft
546560,Valve
1158310,Paradox Interactive
1364780,"CAPCOM Co., Ltd."
1817070,PlayStation Publishing LLC
1888160,"FromSoftware, Inc."
1888160,Bandai Namco Entertainment Inc.
1593500,PlayStation Publishing LLC
379720,Bethesda Softworks
1238810,Electronic Arts
601150,"CAPCOM Co., Ltd."
2669320,Electronic Arts
1222680,Electronic Arts
365590,Ubisoft
447040,Ubisoft
883710,"CAPCOM Co., Ltd."
49520,2K
49520,Aspyr (Mac)
49520,Aspyr (Linux)
962130,Xbox Game Studios
570940,"FromSoftware, Inc."
570940,Bandai Namco Entertainment
261640,2K
261640,Aspyr (Linux)
1790600,Bandai Namco Entertainment
281990,Paradox Interactive
1446780,"CAPCOM Co., Ltd."
360430,2K
360430,Aspyr (Mac)
582160,Ubisoft
