name,averageRevenue,medianRevenue,totalRevenue,publishedGames
Game Science,515721660.92022294,515721660.92022294,1031443321.8404459,2
Larian Studios,109717169,2048961,877737352,8
CD PROJEKT RED,102673455.28244919,8717640,924061097.5420426,9
Xbox Game Studios,24821451.19442952,6680378,1414822718.0824826,57
Activision,18474667.89276441,919656.5,1145429409.3513932,62
Paradox Interactive,9665876.209500192,778904,724940715.7125144,75
Bethesda Softworks,21421065.47200606,5255188,1328106059.2643757,62
Valve,336279462.0423628,3403337,10760942785.35561,32
PlayStation Publishing LLC,54249123.30414665,29129268,922235096.170493,17
Bandai Namco Entertainment,37209209.233333334,4608301,1116276277,30
Rockstar Games,65524484.776922576,5909852.5,1048391756.4307612,16
Ubisoft,11391956.000528095,1222117,1594873840.0739334,140
2K,14604073.708333334,1292517,1051493307,72
Electronic Arts,24810792.175519783,2115084.5,3175781398.466532,128
Warner Bros. Games,33104027.79244338,10248570.471537452,562768472.4715375,17
"CAPCOM Co., Ltd.",21618879.450285874,3788040,929611816.3622926,43
"FromSoftware, Inc.",147738526.66666666,71260950,886431160,6
Aspyr (Mac),55684180.03892833,33191646,668210160.46714,12
Feral Interactive (Mac),19887956.764057424,9121380,735854400.2701247,37
Feral Interactive (Linux),25068694.69366294,18440591.5,601648672.6479106,24
Amazon Games,194998054.22656766,146052308,584994162.679703,3
"KRAFTON, Inc.",1091648878.3388016,7120625,4366595513.3552065,4
