steamId,publisher
671860,SgtOkiDoki
493520,10 Chambers
1167630,Tuxedo Labs
305620,Hinterland Studio Inc.
1217060,Duoyi Games
1659040,IO Interactive A/S
2479810,"MADFINGER Games, a.s."
945360,Innersloth
644930,Numantian Games
233860,Lo-Fi Games
285900,Boneloaf
881100,Nolla Games
391540,tobyfox
629730,WarpFrog
1621690,Fireshine Games
219640,Torn Banner Studios
1260320,Source Technology
1129580,Toplitz Productions
1229490,New Blood Interactive
1824220,Tripwire Presents
1073440,ILLUSION
1062090,Mechanistry
246620,Ndemic Creations
1794680,poncle
219990,Crate Entertainment
203140,Io-Interactive A/S
823500,Stress Level Zero
2670630,Nokta Games
1206560,Maxim Karpenko
1149460,RocketWerkz
2186680,Owlcat Games
424370,WOLCEN Studio
621060,The Irregular Corporation
362890,Crowbar Collective
975370,Kitfox Games
108710,Remedy Entertainment
1943950,Fancy Games
1184370,META Publishing
1184370,Owlcat Games
222880,New World Interactive
414340,Ninja Theory
2379780,Playstack
505460,Siege Camp
719040,inXile Entertainment
1084600,Pathea Games
1084600,Focus Entertainment
1084600,"PM Studios, Inc."
1084600,DMM Games
555160,Vankrupt Games
1435790,Pine Studio
376210,Afterthought LLC
1583230,"Squanch Games, Inc."
447020,GIANTS Software
1044720,Crate Entertainment
516750,Amistech Games
313120,Beam Team Publishing
699130,Saber Interactive Inc
239030,3909
322500,SUPERHOT Team
386940,Clever Endeavour Games
4500,GSC Game World
2567870,Anegar Games
690790,Codemasters
690790,Electronic Arts
253230,Gears for Breakfast
838350,ConchShip Games
2406770,Reissad Studio
1599600,Yogscast Games
230290,Giant Army
747660,ScottGames
382310,Strange Loop Games
16900,MicroProse Software
346010,Spiderling Studios
1284190,Miju Games
930210,HuniePot
392160,Egosoft
1432860,Pixel Sprout Studios
640820,Knights Peak
242920,Shining Rock Software LLC
3590,"PopCap Games, Inc."
3590,Electronic Arts
504230,Maddy Makes Games Inc.
834910,Grapeshot Games
834910,Snail Games USA
1128920,ROCKFISH Games
210970,"Thekla, Inc."
383870,Panic
383870,Campo Santo
1178830,FYQD-Studio
1178830,PLAYISM
635260,"CarX Technologies, LLC"
1274570,Straight Back Games
1149620,DRAGO entertainment
1149620,Movie Games S.A.
1149620,HeartBeat Games
221910,Galactic Cafe
322170,RobTop Games
916840,Skydance Interactive
240720,Bennett Foddy
1611600,Eugen Systems
212680,Subset Games
560130,Versus Evil
560130,Obsidian Entertainment
690830,Polymorph Games
573090,Geometa
1296830,bilibili
972660,Thunder Lotus Games
1119730,Excalibur Games
617830,SUPERHOT Team
24010,Dovetail Games - Trains
24010,Dovetail Games
342180,Vertigo Games
1253920,Cellar Door Games
704270,Systemic Reaction™
880940,Rebuilt Games
1007040,D3PUBLISHER
245620,Kalypso Media Digital
312520,Akupara Games
410900,EarthWork Games
655500,PiBoSo
239820,Greenheart Games 💚
527430,NeocoreGames
667970,"Boundless Dynamics, LLC"
1703340,Crows Crows Crows
445980,Contingent99
445980,Humble Games
571740,Perfuse Entertainment
1150690,"OMOCAT, LLC"
1629520,Secret Mode
244450,Fulqrum Publishing
763890,Worldwalker Games LLC
763890,WhisperGames
582660,Pearl Abyss
1211020,RubberBandGames
1211020,Curve Games
1577120,2K Games
304430,Playdead
232890,FireFly Studios
1017180,Genesz
393420,Bankroll Studios
1451940,WSS playground
1987080,MrFatcat
1987080,Dropsiick
1942280,Blobfish
470220,Ubisoft Entertainment
994280,北京网元圣唐娱乐科技有限公司
895400,Bad Pixel
895400,tinyBuild
1126320,Dr PinkCake
1029780,Mythwright
269950,Laminar Research
837470,Panic
1433140,Gun Interactive
1548850,Victura
1062520,James Bendon
410320,D3PUBLISHER
1049410,Pillow Castle
2080690,Vector3 Studio
41700,GSC Game World
2231450,Tour De Pizza
3070070,OPNeon Games
1522820,Robot Entertainment
780290,Twin Sails Interactive
1592190,Stress Level Zero
569480,"Lion Shield, LLC"
48000,Playdead
1929610,Clock Wizard Games
290080,Bitbox Ltd.
251060,Eugen Systems
1341290,Total Mayhem Games
780310,EXOR Studios
780310,Surefire.Games
383120,Eleon Game Studios
736190,墨鱼玩游戏
293760,Camshaft Software Ltd
1162520,SOFTSTAR ENTERTAINMENT
24240,Starbreeze Entertainment
250320,Telltale
65800,Chromatic Games
386070,Planetary Annihilation Inc
450540,RUST LTD.
858810,Madruga Works
282140,Frictional Games
824270,KovaaK Games
427410,Playstack
326460,kChamp Games
1455840,Toukana Interactive
1509960,TECOPARK
1296610,Red Nexus Games Inc.
1296610,IndieArk
285920,Payload Studios
383980,Aether Studios
2138710,Sloclap
2138710,Kepler Interactive
246900,RuneStorm
585420,Flashbulb
201790,Robot Entertainment
1549970,Cold Iron Studios
1549970,Focus Entertainment
559650,Barrel Roll Games
977950,7th Beat Games
977950,indienova
2322560,intiny
242860,BlackMill Games
57300,Frictional Games
223470,Running With Scissors
1928980,Inflexion Games
641320,Big Cheese Studio
641320,PlayWay S.A.
1458140,Kepler Interactive
1324130,Frontier Foundry
636480,SteelRaven7
1243830,Team17 Digital
692890,RyseUp Studios
692890,Starbreeze Entertainment
653530,3909
736260,Hempuli Oy
1118200,Studio Minus
1359090,Attrito
1359090,M7 Productions
299740,Entrada Interactive LLC
865360,Total Mayhem Games
228280,Beamdog
1350650,OppaiMan
1034140,Streembit Ltd
992300,艺龙游戏
1227890,Kagura Games
1331550,Hovgaard Games
955900,GSQ Games
589290,Anvil Game Studios
448280,Owlchemy Labs
1089980,Innersloth
226860,Stardock Entertainment
396750,ROCKFISH Games
509980,CyberLight Game Studio
799600,Walternate Realities
428690,UPLAY Online
428690,🚀 Raiser Games
2321470,Ghost Ship Publishing
590380,Subset Games
611790,"Eek! Games, LLC"
1307890,Earthshine
493490,"Forward Global Group, Ltd."
553420,Finji
1594320,MaFi Games
250760,Yacht Club Games
2646460,Qooland Games
233720,Infogrames
1189490,Chalcedony Network
1042550,BANDAI NAMCO Entertainment Inc.
784080,Piranha Games Inc.
204880,Stardock Entertainment
1069660,Game-Labs
774861,Other Ocean Group
1361510,Dotemu
1361510,Gamera Games
1369630,Binary Haze Interactive
673950,Milkstone Studios
1465460,Games Operators
274940,Digital Confectioners
1244090,Sabotage Studio
1094520,XD
1611910,Frontier Foundry
447530,Ysbryd Games
447530,PLAYISM
257850,Heart Machine
911400,Ubisoft Entertainment
690640,Frozenbyte
25000,Wolfire Games
365360,Overhype Studios
247080,Brace Yourself Games
247080,Klei Entertainment
1812450,Donkey Crew
1812450,Snail Games USA
1012880,Robot Gentleman
552100,Fluppisoft
337320,South East Games
2273430,91Act
1631080,ILLUSION
1859910,Paras Games
1859910,Obb Studio Inc.
1106840,Foulball Hangover
418530,Mossmouth
391720,Bloober Team SA
895870,Sector D2
895870,Humble Games
35700,Frozenbyte
402710,Fenix Fire Entertainment
519860,New Blood Interactive
1171690,Airship Syndicate
241600,Cellar Door Games
2291060,D3PUBLISHER
57690,Kalypso Media Digital
429050,Greens s.r.o.
951440,Volcanoid
1012790,CM Games
1096530,Tactical Adventures
323850,Those Awesome Guys
451340,Code Horizon
451340,PlayWay S.A.
427730,Evil Tortilla Games
1948980,Paleo
1159690,HypeTrain Digital
1113120,Kasedo Games
2066020,Game Smithing Limited
1954200,Ember Lab
1144400,HIKARI FIELD
1144400,NekoNyan Ltd.
1121640,Stray Fawn Publishing
1121640,WhisperGames
257350,Beamdog
919640,Eugen Systems
1483870,Acureus
1259980,Milestone S.r.l.
939850,BANDAI NAMCO Entertainment Europe
903950,Donkey Crew
903950,Snail Games USA
1127500,Dinosaur Polo Club
445220,Boxelware
986130,Fireshine Games
448510,Team17 Digital Ltd
283640,Ska Studios
238430,"Monochrome, Inc"
1129540,Critical Bliss
1129540,Mango Party
352720,Crytivo
1782120,Modern Wolf
2828860,Fun Dog Studios
290790,Six Foot
290790,Grey Box
312530,CORPTRON GAMES CORP.
625960,HypeTrain Digital
768200,Merge Games
768200,Maximum Entertainment
242680,Vlambeer
274520,Acid Wizard Studio
1372280,Lasengle Inc.
1353230,Team Reptile
290340,League of Geeks
236150,Little Green Men Games
872670,Affray Interactive
496240,Downpour Interactive
979110,Bugbyte Ltd.
967050,Hitchcock Games
394690,PixelTail Games
245170,Autumn Games
1498570,SNK CORPORATION
2362300,Dovetail Games - TSW
1054490,Monster Couch
1054490,Stonemaier Games
1054490,indienova
1239080,KillHouse Games
1271700,Milestone S.r.l.
597170,Doborog Games
266510,Defiant Development
2248760,Red Axe Games
297000,Ubisoft Entertainment
456670,Defiant Development
1377380,Jackto Studios
813230,Bigmode
1809540,RedCandleGames
314650,Cosmographic Software
1876890,Spiral Up Games
962730,Easy Day Studios Pty Ltd
222940,SNK CORPORATION
434650,Neon Doctrine
1468720,Brilliant Game Studios
219890,Demruth
1495320,Team Carnal Instinct
673750,Catobyte Ltd
732690,ScottGames
230190,Brightrock Games
2290180,Ubisoft Entertainment
447820,New World Interactive
690040,SUPERHOT Team
1295920,DreadXP
1286350,Awe Interactive
1335790,Clever Plays
1079800,Cloudhead Games Ltd.
113200,Edmund McMillen
1276790,Riot Forge
877200,XREAL Games
270150,Osumia Games
339800,HuniePot
1948280,Sokpop Collective
253250,(none)
239350,Mossmouth
1016800,The Farm 51
1040200,President Studio
1040200,PlayWay S.A.
333420,GSC Game World
437920,WeirdBeard
1850740,Renderise
1575940,Stardock Entertainment
586140,"H2 Interactive Co., Ltd."
681280,No More Robots
774801,Noisestorm
1488200,indie.io
307960,1С-777 Limited
35720,Frozenbyte
1003590,Enhance
302670,Digitalmindsoft
242640,Cyanide Studio
242640,Nacon
1139980,Isolated Games
1139980,IndieArk
344760,Code}{atch
973230,Jordy Lakiere
882790,甲山林娛樂股份有限公司
240760,inXile Entertainment
1367550,Ironhide Game Studio
453090,Texel Raptor
1737100,NLT Media
1071870,NEXT Studios
1071870,META Publishing
298050,Wargaming Labs
1302240,Valko Game Studios
1150080,Idea Factory International
718670,Weather Factory
774171,hasuhasu
1556790,BlackMill Games
1887840,Aggro Crab
1105670,The Arcade Crew
1105670,Gamera Games
1105670,DANGEN Entertainment
1066890,Reiza Studios
673880,Kasedo Games
1062160,Dry Cactus
682990,Movie Games S.A.
868360,Oxymoron Games
985890,Dotemu
839770,Snapshot Games Inc.
410340,LuGus Studios
319510,Scott Cawthon
2446550,Aspyr
350640,Frogwares
594330,SadSquare Studio
366090,Pipliz
423230,The Game Bakers
237990,Stoic Studio
368340,Deck13
368340,WhisperGames
368340,DANGEN Entertainment
368340,Mayflower Entertainment
774181,7th Beat Games
774181,indienova
1607680,Apogee Entertainment
720620,Bouncyrock Entertainment
227860,Sauropod Studio
933820,Assemble Entertainment
933820,WhisperGames
2495450,Kagura Games
861540,Terry Cavanagh
498240,Telltale
1944790,Dovetail Games - TSW
1194630,BANDAI NAMCO Entertainment Europe
1272320,Door 407
1989270,Black Tabby Games
1989270,Serenity Forge
357190,"CAPCOM U.S.A., INC."
503560,Games Operators
632300,Perun Creative
424030,Campfire Games
955050,FYQD-Studio
955050,PLAYISM
206440,Freebird Games
1213740,L2 Games
544550,RocketWerkz
300380,Tripwire Presents
1351080,Dotemu
469610,Adult Swim Games
403190,Madruga Works
1509510,Gleamer Studio
531510,Berzerk Studio
773790,yevhen8
280790,Playful Corp.
287980,Dinosaur Polo Club
1970580,Pretty Soon
1970580,IndieArk
746850,ION LANDS
746850,Maple Whispering Limited
204450,Techland Publishing
1223750,TinyHat Studios
1702010,Toplitz Productions
427100,Aerosoft GmbH
704450,Beamdog
252870,Leafy Games
1178490,Ghostpie Studio
1178490,Gamera Games
280160,Lince Works
1454400,Playsaurus
1635450,Uuvana Studios
1128000,Picroma
248390,Black Maple Games
738520,HypeTrain Digital
738520,RedRuins Softworks
1361000,Ravenhood Games
875210,"USERJOY Technology Co.,Ltd."
2427700,PlayWithFurcifer
2427700,IndieArk
304650,Failbetter Games
647830,Warner Bros. Interactive
647830,Feral Interactive (Mac)
553640,XD
481510,Finji
605740,Excalibur Games
1169040,Fair Games ApS
793460,Games Operators
1229240,Deck13
1229240,WhisperGames
558990,Zachtronics
436320,Survios
1492070,Wales Interactive
2334730,Realm Archive
1966900,Erabit
1966900,flanne
571260,SNK CORPORATION
2230110,Phoenix Labs
1619750,Remtairy
332800,Scott Cawthon
333600,Sekai Project
541210,Killerfish Games
1388880,Serenity Forge
115800,D-Pad Studio
954740,Reef Entertainment
970830,Dear Villagers
970830,E-Home Entertainment
1563180,Cheesecake Dev
588030,Altfuture
1574580,Iceberg Interactive
1128860,Fulqrum Publishing
248610,KillHouse Games
371970,Turning Wheel LLC
418340,Rooster Teeth Games
1543030,CubeGame
1543030,"Softstar Technology (Beijing) Co., Ltd"
245470,Positech Games
215530,NeocoreGames
2162800,tobspr Games
2162800,Gamera Games
1001270,Biotech Gameworks
362490,Bare Mettle Entertainment
616560,Brilliant Game Studios
341940,Destructive Creations
207170,Almost Human Games
420530,KOMODO
269210,Panic Art Studios Ltd
224480,Young Horses
365960,Studio 397
1957780,Beyond Frames
20510,GSC World Publishing
1414850,GameMill Entertainment
671510,HypeTrain Digital
1656780,Goblinz Publishing
1656780,Maple Whispering Limited
813630,Supra Games
2849080,Ironhide Game Studio
1127400,AnukenDev
282900,"Idea Factory International, Inc."
282900,"IDEA FACTORY Co., Ltd."
848480,Knuckle Cracker
926990,eduweb
2140020,FireFly Studios
2142790,NPC Studio
252530,Aerosoft GmbH
2280,Bethesda
1061090,Nexile
1166860,PikPok
1388770,Consumer Softproducts
1525700,Untitled Studio
1525700,WhisperGames
1240210,Draw Me A Pixel
526160,HypeTrain Digital
324160,Sekai Project
1342330,Eggcode
1424330,Secret Mode
1281590,BANDAI NAMCO Entertainment Europe
