name,averageRevenue,medianRevenue,totalRevenue,publishedGames
Majorariatto,92708.89546558034,53424,556253.372793482,6
Digital Seductions,318409.5,318409.5,636819,2
Digixart,327989,327989,327989,1
Ravenscourt,267682.82608695654,67498,6156705,23
"Top Hat Studios, Inc.",116769.07142857143,74055.5,1634767,14
pgWave,163312.5,163312.5,326625,2
The Digital Lounge,181333.66666666666,135186,544001,3
二色幽紫蝶,832362.6,58965,4161813,5
东游鉴,116666.33333333333,78077.5,699998,6
甲山林娛樂股份有限公司,2357116.75,1602571.5,9428467,4
Saibot Studios,77353.75,43139,618830,8
Knitting Games,331809,331809,331809,1
GameMill Entertainment,229567.1724137931,28606,6657448,29
Team17 Digital Ltd,858437.2424242424,190565,28328429,33
Carlsen Games,327005,327005,327005,1
New Game order,327213,327213,327213,1
Lion Castle Entertainment,48942.42857142857,2214,342597,7
AniYa Games Studio,329030,329030,329030,1
Reason Generator Inc.,325998,325998,325998,1
Aleksandar Kuzmanovic Games Inc.,326782,326782,326782,1
Panic Art Studios,374716,374716,374716,1
Baggy Cat Ltd.,703410.5,703410.5,1406821,2
熊窝dodox,127437,85982.5,764622,6
RuiXiao,151503.8,112868,757519,5
AIx2 Games,180201,180201,360402,2
Phoenix Online Publishing,61163.875,13852.5,978622,16
Kagura Games,306272.71428571426,93012.5,47165998,154
qureate,252230.44444444444,113312.5,4540148,18
Graviteam,349497.3333333333,324695,1048492,3
Carbon Studio,123426.75,83738,493707,4
"Acceleroto, Inc.",173226,173226,346452,2
10tons Ltd,371477.6666666667,45181.5,6686598,18
小团团工作室,324516,324516,324516,1
Amanita Design,966596.1111111111,530329,8699365,9
MX Games,320192,320192,320192,1
Valkyrie Initiative,63797.148148148146,5810,1722523,27
YAMADA,203195.5,203195.5,406391,2
MyACG Studio,293306.62461605144,271756,2053146.37231236,7
Drift Physics Crew,356510,356510,713020,2
Ice-Pick Lodge,278329.5,248032.5,1113318,4
Chewa,111603,9433,334809,3
holo Indie,62591.75,1645.5,751101,12
GameTrust Games,224852.5,224852.5,449705,2
Monad Rock,188135,188135,376270,2
Logic Artists,322507,322507,322507,1
Hometopia Inc.,323665,323665,323665,1
Sweet Dog Studios,322892,322892,322892,1
Finish Line Games,321374,321374,321374,1
Inceton games,777955.875,282421.5,6223647,8
Ludosity,188438.2,102684.5,1884382,10
Ignatus Zuk and Gonzalo Villagomez,321090,321090,321090,1
Techland Publishing,1557026,1144671,9342156,6
Renderise,1072511,2182,7507577,7
Psytec Games Ltd,403706.3333333333,321000,1211119,3
Infinite Dreams,133727,105841,534908,4
MythoLogic Interactive,177216,177216,354432,2
LAN - GAMES LTD,144113,6985.5,576452,4
Feperd Games,293547.25,308126,1174189,4
Funktronic Labs,174662.16666666666,34022,1047973,6
Dancing Dragon Games,99431.75,35849.5,397727,4
Critical Bliss,935508.4166666666,411819,22452202,24
Galactic Workshop,117267.33333333333,30458,351802,3
Vertigo Games,1216237.111111111,184744.5,21892268,18
Orc Chop Games,320380,320380,320380,1
Kiki Games,251398.33333333334,321546,754195,3
Alice Publication,463631.8888888889,238303,4172687,9
Odencat,124805.75,87224.5,499223,4
Lupiesoft,190316,190316,380632,2
MangaGamer,171363.36144578314,58147,14223159,83
Finji,1791269.4,296450,17912694,10
Manekoware,191443.5,191443.5,382887,2
Tripwire Presents,8057700.4,4177131,40288502,5
MicroProse Software,1056768.037037037,37977,28532737,27
Team Terrible,321079,321079,321079,1
侠客工作室,318671,318671,318671,1
"What Pumpkin Games, Inc.",620647.5,620647.5,1241295,2
Mojang,105906.33333333333,0,317719,3
Terapoly,126422,13847,632110,5
Stormind Games,408797,408797,817594,2
Kalypso Media Digital,895648.2888888889,166375,40304173,45
SOEDESCO,109393.31818181818,57778,2406653,22
Shiravune,131012.06666666667,40317,9825905,75
Slid Studio,318053,318053,318053,1
Notovia,259637.125,227474,2077097,8
indie.io,297344.83720930235,30515.5,25571656,86
Lighthouse Games Studio,398792.71428571426,12809,2791549,7
Nordcurrent Labs,202800.25,211629,811201,4
Playmeow,95249.24528301887,40996,5048210,53
Remedy Entertainment,8447152.666666666,2395606,25341458,3
ESDigital Games,41725.851851851854,8009,3379794,81
Neon Doctrine,462078.1153846154,97580,12014031,26
Syawase Works China,275213.3333333333,209864,825640,3
Sekai Project,223291.48427672955,25980,35503346,159
HandyGames,254618.96512273396,40761,13749424.116627634,54
Element Studio,314948,314948,314948,1
SNK CORPORATION,953420.9756133446,167968,27649208.292786993,29
Erabit,461830.625,111882.5,7389290,16
rondomedia GmbH,147347.5,122942,1473475,10
JAST USA,324528.5789473684,152366,6166043,19
Kagura Games (Chinese Localization),649288.25,536090,2597153,4
RedLynx Ltd.,314730,314730,314730,1
Butterscotch Shenanigans,978160.5,978160.5,1956321,2
Missing Link Games,139897.5,106161.5,559590,4
IT Roy,316529,316529,316529,1
Nightdive Studios,76886.41346153847,12482,7996187,104
Thomas Happ Games LLC,1633104,1633104,3266208,2
"Kairosoft Co.,Ltd",74846.44444444444,40887,4041708,54
DON'T NOD,542130.5,215281,2168522,4
Alessandro Roberti,314476,314476,314476,1
Maximum Entertainment,586060.2926829269,101226,24028472,41
Demolish Games S.A.,95832.16666666667,58651,574993,6
Secret Mode,1530253.25,222091.5,24484052,16
Valsar,464527.5,464527.5,929055,2
Tomlab Games,314365,314365,314365,1
Helios Studio,323780,323780,323780,1
INDIECN,294941.4736842105,69156,5603888,19
Wired Productions,388376.75,124191.5,7767535,20
Aspyr,966599.0909090909,249484,10632590,11
Half Human Games,156436.5,156436.5,312873,2
Electronic Sheep Games,49583.1,17925.5,495831,10
Mango Party,640264.5166666667,218359.5,38415871,60
LewdLoco,425434.4166666667,378964,5105213,12
Mango Party News,552220.75,218359.5,26506596,48
WayForward,533879.6111111111,145611,9609833,18
Tate Multimedia,100992,34189.5,1009920,10
"Dejobaan Games, LLC",174824.57142857142,217897,1223772,7
Royal Rudius Entertainment,317452,317452,317452,1
Gaming Factory,172733.5,16047.5,2418269,14
Ultimate Games S.A.,197971.28958611286,14704,6335081.266755612,32
OnSkull Games,81628.9151919411,47431,897918.067111352,11
Shattered Pixel,323610,323610,323610,1
Broccoli Games,315458,315458,315458,1
Blendo Games,330190.71428571426,167975,2311335,7
Superstatic,310860,310860,310860,1
OTAKU Plan,79365.93650793651,40550,5000054,63
Microids,140059.14414414414,15799,15546565,111
Talking About Media,86239.5,10261.5,344958,4
Devcats,98759.33333333333,46618,888834,9
Onyx Lute,277722.3333333333,310137,833167,3
Screen 7,117603.18181818182,5064,1293635,11
Iceberg Interactive,468344.7166666667,111783,28100683,60
Versus Evil,904119.28,158674,22602982,25
Supercube,308759,308759,308759,1
GFX47,215352.33333333334,309641,646057,3
Blue Mountains,309135,309135,309135,1
Urban Giraffe Games Inc.,309225,309225,309225,1
HENTAI Plan,100771,41102,403084,4
Q-Games Ltd.,120588.2,27326,602941,5
ORIGAME DIGITAL,309056,309056,309056,1
VisualArts,327895.14285714284,219579,2295266,7
SNEG,22268.166666666668,3073,1068872,48
Thinking-Twins GbR,312102,312102,312102,1
Balcony Softworks,309055,309055,309055,1
Angry Demon Studio,301019.5,301019.5,602039,2
Beau Blyth,307387,307387,307387,1
Serenity Forge,940216.75,170148.5,18804335,20
LimboLane,308219,308219,308219,1
Space Onigiri Game LLC,304950.5,304950.5,609901,2
Goblinz Publishing,583333.1764705882,170823.5,19833328,34
"H2 Interactive Co., Ltd.",863739.7857142857,275068,12092357,14
Outright Games Ltd.,78139.28571428571,24985,3828825,49
Neverland Entertainment,427163.2727272727,96275,4698796,11
Nuuvem Inc,209138.25,162985,836553,4
Spoonful Of Wonder,312830,312830,312830,1
Toge Productions,289307.2380952381,20212,6075452,21
Clock Wizard Games,4038530.6666666665,305933,12115592,3
Playground Productions,472392,472392,472392,1
Easy Joy Ltd.,305258,305258,305258,1
Nyu Media,220648.5,220648.5,441297,2
Zerone Games,305934,305934,305934,1
"Rogue Games, Inc.",82660.8125,14453,1322573,16
Digital Leisure Inc.,227439.43752322547,38013,1592076.0626625782,7
Dear Villagers,534262.8157894737,99069,20301987,38
Wargaming.net,158146,158146,316292,2
Snowbird Games,415566.2,307210,2077831,5
Catoptric Games,113241,99522,566205,5
IndieArk,919526.4583333334,139792.5,44137270,48
Restory Studio,346867,346867,693734,2
Playful Corp.,1881543,305627,5644629,3
BLits Games,313571,313571,313571,1
VR Factory,151204.33333333334,143828,453613,3
MoaCube,111372,65581,445488,4
One Hamsa,469093.5,469093.5,938187,2
All Yes Good,153786,153786,307572,2
NupuryuSoft,305036,305036,305036,1
Dogenzaka Lab,63004.11111111111,43330.5,1134074,18
Odders Lab,153311.5,153311.5,306623,2
META Publishing,3947216.25,617632,31577730,8
DuaWolf Studio,151978.25,141786.5,607913,4
Headup,225227,56590.5,11711804,52
Tasty Pics Studio,203612.5,203612.5,407225,2
Out of the Park Developments,407578.55555555556,256414,3668207,9
Larkon Studio,303035,303035,303035,1
Andy Sztark,390818,390818,781636,2
BattleGoat Studios,188169.57142857142,81113,1317187,7
Artifex Mundi,77120.90909090909,44824,5938310,77
NekoNyan Ltd.,627148,135006,18187292,29
HIKARI FIELD,656584.9777777778,188598,29546324,45
"CloudGate Studio, Inc.",301729,301729,301729,1
3DClouds,186807.33333333334,258181,560422,3
Nightmare Studios,216418.5,216418.5,432837,2
方块游戏(CubeGame),206847.7741935484,61420,6412281,31
Glass Bottom Games,100697.5,47231,402790,4
Fulqrum Publishing,341095.25,38908.5,40931430,120
Five Aces Publishing Ltd.,216550,216550,433100,2
Snowcastle Games,300041,300041,300041,1
Kasedo Games,1622679.076923077,252631,21094828,13
Maple Whispering Limited,856722.2941176471,177284.5,29128558,34
VaragtP,77447.57142857143,32062,542133,7
Starni Games,157455.625,110758.5,1259645,8
Lifetap Studios,298558,298558,298558,1
Bowlcut Studios,298088,298088,298088,1
Whitethorn Games,228092.25,21751.5,4561845,20
Voids Within,304142,304142,304142,1
UNIKAT Label,583800,583800,1167600,2
Zojoi,38660.88888888889,4904,347948,9
Coatsink,450314.5,115238,5403774,12
Thunderful,82802.75,16147,331211,4
Prime Games,80946.25,12845,323785,4
"Bit Planet Games, LLC",91528.6,44789,457643,5
Big Ant Studios,500274.8,266041.5,5002748,10
Prismatika,254743,148641.5,1018972,4
indienova,804189.8108108108,41751,29755023,37
Rad Codex,93483.8,66521,467419,5
Positech Games,1013541,237210,13176033,13
Games Operators,1239729.105263158,104345,23554853,19
The Scholastics,296678,296678,296678,1
Eroge Japan,181146.1052631579,49796,3441776,19
Gaijin Games,332220.1666666667,163895.5,1993321,6
inkle Ltd,259848.125,189328,2078785,8
Milestone S.r.l.,1096489.3,643857,43859572,40
Devs on a Boat,296386,296386,296386,1
Razzart Visual,159447.25,163623,637789,4
Jacob Janerka,296193,296193,296193,1
Glowstick Entertainment,1643527.1836322483,295999,4930581.550896745,3
Simogo,295501,295501,295501,1
Boring Games,297625,297625,297625,1
Playsaurus,1654399.5404747403,275031,13235196.323797923,8
Plug In Digital,47548.11034482758,3602,6894476,145
SOFTSTAR ENTERTAINMENT,537276.8148643414,58870,19879242.14998063,37
JAYFLGAMES,148043.5,148043.5,296087,2
Basti Games,295024,295024,295024,1
Kyle Thompson,164565,164565,329130,2
Gaming at Work,97057.25,41946.5,388229,4
Cinetique,295091,295091,295091,1
"BBEW BBEW, LLC",294684,294684,294684,1
Fractale,205987.25,191613,823949,4
Mode 7,802381.2857142857,354716,5616669,7
Immersive VR Education Ltd,147585,147585,295170,2
Sergey Pershakov,294386,294386,294386,1
Eggcode,2128238.6666666665,1768852,6384716,3
Paradox Arc,1867482.875,601011,14939863,8
Furlough Games PBS,161007.42857142858,177217,1127052,7
Ghostlight LTD,240491.85714285713,97845,3366886,14
想象颗粒,292697,292697,292697,1
Alientrap,367793.875,196037.5,2942351,8
Pixel Purrfect,290174,290174,290174,1
Toplitz Productions,2106652.5714285714,118302,44239704,21
Frozenbyte,3191309.7,2222231.5,31913097,10
