steamId,last_30_avg,tags,genres,features
2358720,138205.76,"['Mythology', 'Action RPG', 'Action', 'Souls-like', 'RPG', 'Combat', 'Story Rich', 'Singleplayer', 'Drama', 'Action-Adventure', 'Dark Fantasy', 'Atmospheric', 'Adventure', '3D', 'Fantasy', 'Hack and Slash', 'Third Person', 'Difficult', 'Music', 'Violent']","['Action', 'Adventure', 'RPG']","['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']"
570,417283.79,"['Free to Play', 'MOBA', 'Multiplayer', 'Strategy', 'eSports', 'Team-Based', 'Competitive', 'Action', 'Online Co-Op', 'PvP', 'Difficult', 'Co-op', 'RTS', 'RPG', 'Tower Defense', 'Fantasy', 'Character Customization', 'Replay Value', 'Action RPG', 'Simulation']","['Action', 'Strategy', 'Free To Play']","['Steam Trading Cards', 'Steam Workshop', 'SteamVR Collectibles', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Steam Timeline']"
1172470,94669.27,"['Free to Play', 'Battle Royale', 'Multiplayer', 'FPS', 'Shooter', 'First-Person', 'PvP', 'Action', 'Hero Shooter', 'Team-Based', 'Tactical', 'Sci-fi', 'Survival', 'Loot', 'Character Customization', 'Co-op', 'Funny', 'Lore-Rich', 'Cyberpunk', 'Cinematic']","['Action', 'Adventure', 'Free To Play']","['Online PvP', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']"
730,831797.92,"['FPS', 'Shooter', 'Multiplayer', 'Competitive', 'Action', 'Team-Based', 'eSports', 'Tactical', 'First-Person', 'PvP', 'Online Co-Op', 'Co-op', 'Strategy', 'Military', 'War', 'Difficult', 'Trading', 'Realistic', 'Fast-Paced', 'Moddable']","['Action', 'Free To Play']","['Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Steam Timeline']"
578080,297384.48,"['Survival', 'Shooter', 'Battle Royale', 'Multiplayer', 'FPS', 'PvP', 'Third-Person Shooter', 'Action', 'Online Co-Op', 'Tactical', 'Co-op', 'First-Person', 'Strategy', 'Early Access', 'Competitive', 'Third Person', 'Team-Based', 'Difficult', 'Simulation', 'Stealth']","['Action', 'Adventure', 'Massively Multiplayer', 'Free To Play']","['Online PvP', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet']"
1085660,33211.21,"['Free to Play', 'Open World', 'Multiplayer', 'Looter Shooter', 'MMORPG', 'FPS', 'Co-op', 'PvE', 'PvP', 'Shooter', 'Massively Multiplayer', 'Loot', 'First-Person', 'Sci-fi', 'Action', 'Adventure', 'Lore-Rich', 'Space', 'Competitive', 'Atmospheric']","['Action', 'Adventure', 'Free To Play']","['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'In-App Purchases']"
1086940,68268.8,"['RPG', 'Character Customization', 'Choices Matter', 'Story Rich', 'Turn-Based Combat', 'Dungeons & Dragons', 'CRPG', 'Adventure', 'Fantasy', 'Online Co-Op', 'Romance', 'Multiplayer', 'Sexual Content', 'Strategy', 'Singleplayer', 'Co-op Campaign', 'Class-Based', 'Dark Fantasy', 'Nudity', 'Combat']","['Adventure', 'RPG', 'Strategy']","['Single-player', 'Online Co-op', 'LAN Co-op', 'Steam Achievements', 'Steam Cloud', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']"
230410,51380.31,"['Free to Play', 'Action RPG', 'Looter Shooter', 'Third-Person Shooter', 'Action', 'RPG', 'Third Person', 'Massively Multiplayer', 'Character Customization', 'Online Co-Op', 'Co-op', 'Singleplayer', 'PvE', 'Sci-fi', 'Space', 'Shooter', 'Lore-Rich', 'Hack and Slash', 'Parkour', 'Ninja']","['Action', 'RPG', 'Free To Play']","['Single-player', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Remote Play on Phone', 'Remote Play on Tablet']"
1091500,30057.6,"['Cyberpunk', 'Open World', 'Nudity', 'RPG', 'Singleplayer', 'Sci-fi', 'Futuristic', 'FPS', 'Mature', 'Story Rich', 'First-Person', 'Atmospheric', 'Exploration', 'Action', 'Violent', 'Great Soundtrack', 'Action RPG', 'Adventure', 'Character Customization', 'Immersive Sim']",['RPG'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']"
1245620,37381.64,"['Souls-like', 'Open World', 'Dark Fantasy', 'RPG', 'Difficult', 'Action RPG', 'Third Person', 'Multiplayer', 'Fantasy', 'Singleplayer', 'Online Co-Op', 'Action', 'Co-op', 'PvP', 'Atmospheric', 'Great Soundtrack', 'Violent', '3D', 'Family Friendly', 'Character Customization']","['Action', 'RPG']","['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']"
