year,month,newReleases
1997,11,118
2003,11,118
2006,5,236
2006,7,118
2006,9,354
2006,10,118
2006,11,118
2007,3,1062
2007,7,118
2007,8,826
2007,11,236
2008,1,118
2008,2,118
2008,7,118
2008,9,118
2008,10,354
2008,11,236
2008,12,236
2009,1,118
2009,2,118
2009,3,708
2009,4,354
2009,5,944
2009,6,944
2009,7,354
2009,8,590
2009,9,1062
2009,10,354
2009,11,708
2009,12,236
2010,1,472
2010,2,354
2010,3,354
2010,4,354
2010,5,118
2010,6,236
2010,7,472
2010,8,236
2010,9,472
2010,10,590
2010,11,354
2010,12,354
2011,1,590
2011,2,236
2011,3,236
2011,4,708
2011,5,826
2011,6,590
2011,7,590
2011,8,708
2011,9,826
2011,10,826
2011,11,118
2011,12,472
2012,1,472
2012,2,820
2012,3,590
2012,4,1062
2012,5,708
2012,6,236
2012,7,472
2012,8,1534
2012,9,1416
2012,10,1298
2012,11,1180
2012,12,708
2013,1,708
2013,2,354
2013,3,944
2013,4,944
2013,5,1180
2013,6,590
2013,7,944
2013,8,944
2013,9,1298
2013,10,2714
2013,11,1652
2013,12,1770
2014,1,2832
2014,2,4012
2014,3,4012
2014,4,4474
2014,5,6892
2014,6,3540
2014,7,4720
2014,8,3540
2014,9,3658
2014,10,3422
2014,11,4130
2014,12,4248
2015,1,3776
2015,2,4921
2015,3,3828
2015,4,7625
2015,5,5950
2015,6,6256
2015,7,7106
2015,8,7498
2015,9,8519
2015,10,5926
2015,11,5137
2015,12,5935
2016,1,5452
2016,2,5513
2016,3,6581
2016,4,8276
2016,5,7579
2016,6,6885
2016,7,9027
2016,8,9234
2016,9,7815
2016,10,8538
2016,11,8545
2016,12,10227
2017,1,7568
2017,2,7879
2017,3,7657
2017,4,6902
2017,5,9742
2017,6,5468
2017,7,6480
2017,8,9884
2017,9,10463
2017,10,8826
2017,11,9490
2017,12,6984
2018,1,7825
2018,2,8421
2018,3,8321
2018,4,8252
2018,5,11033
2018,6,5639
2018,7,8427
2018,8,7108
2018,9,6957
2018,10,6617
2018,11,6658
2018,12,6261
2019,1,5110
2019,2,5213
2019,3,5797
2019,4,5663
2019,5,6620
2019,6,5093
2019,7,4825
2019,8,7900
2019,9,5488
2019,10,6574
2019,11,4728
2019,12,5542
2020,1,5507
2020,2,5841
2020,3,4564
2020,4,5871
2020,5,5673
2020,6,4277
2020,7,5295
2020,8,5912
2020,9,5825
2020,10,7696
2020,11,5726
2020,12,4587
2021,1,3391
2021,2,5210
2021,3,5362
2021,4,4839
2021,5,4370
2021,6,4864
2021,7,5062
2021,8,4652
2021,9,4764
2021,10,5150
2021,11,4074
2021,12,4353
2022,1,3374
2022,2,3216
2022,3,3843
2022,4,3555
2022,5,3569
2022,6,3413
2022,7,3776
2022,8,3004
2022,9,3758
2022,10,3744
2022,11,2486
2022,12,2411
2023,1,2701
2023,2,3265
2023,3,3409
2023,4,2841
2023,5,2740
2023,6,2132
2023,7,2147
2023,8,2105
2023,9,2143
2023,10,2242
2023,11,2006
2023,12,1911
2024,1,1473
2024,2,1611
2024,3,1268
2024,4,1420
2024,5,1358
2024,6,1249
2024,7,755
2024,8,750
2024,9,880
2024,10,212
